id_a,company_name_a,id_b,company_name_b,best_match_score
266451,societe generale,342520,societe generale equipment finance,0.3717342603978898
181559,cecaz caisse d epargne,343262,caisse d epargne normandie,0.3690492518120985
342895,caisse d epargne rhônealpes,343262,caisse d epargne normandie,0.3690492518120985
320910,fives maintenance,41645,fives maintenance,0.3671182226752025
263436,fives filling & sealing,366371,fives filling & sealing,0.36710458186759615
343413,pole emploi,317666,pole emploi,0.36162216994929874
311161,philip morris international,310190,philip morris international,0.3591802661005751
311593,coty inc.,103976,coty inc,0.35851938621721524
178509,zenchef,45416,zenchef,0.3573853033968336
4645,le bourg bon mouzda,116198,restaurant le bourg bon,0.3562209920559673
172272,engie,333974,engie,0.3548825083678855
52243,centre for addiction and mental health (camh),89110,centre for addiction and mental health,0.34997596473873255
259,tempête sous un crâne,144638,tempète sous un crâne,0.34968912090175147
350871,bearingpoint,179356,bearingpoint,0.3402790868371562
179348,lanvin,319866,lanvin,0.3402790868371562
320433,servair,343559,servair,0.3402790868371562
257601,kingfisher france,267791,kingfisher france,0.335137096832899
342453,zoetis,321654,zoetis,0.3302447536483568
254312,fivory,70180,fivory,0.3301974589108185
98885,xpo logistics france,344127,xpo logistics,0.3294139476929546
92069,virbac,320479,virbac,0.3290435761600369
344005,celgene,321522,celgene,0.32795427767960006
329506,l oréal,81382,l oréal france,0.32528591911662874
351867,l’oréal,81382,l oréal france,0.32528591911662874
102628,eden park (france),22018,eden park,0.3236549871992654
317754,orange france,422047,orange france,0.3233443860517812
351147,bnp paribas fortis,351595,bnp paribas,0.3224899687283575
172402,starbucks,350063,starbucks,0.32021042045955744
319808,sacd,342619,sacd,0.32021042045955744
329650,conforama,319995,conforama,0.32021042045955744
177225,sothys international,33846,sothys.net,0.3196456406729642
176271,crédit agricole,176954,crédit agricole idf,0.3195259136894318
286039,sodexo,80234,sodexo group,0.31781175849112203
96000,decathlon germany,317588,decathlon,0.31746111604703425
367158,suez,96044,suez,0.3163022192884451
179892,la maison du chocolat,331411,la maison du whisky,0.314306110558849
141366,financiere bcl,1950,financiere bcl,0.31198973978900857
85256,engie,333974,engie,0.3118853217468795
321291,nge,344988,nge,0.3113972245128128
331702,havas,172985,havas,0.3084710031891787
50844,asco,93193,asco,0.3084710031891787
